id,household_member_count,g_of_biscuit,unit_of_eggs,g_fruit/vege,g_of_rice,unit_of_canned,sachets_of_beverage,unit_of_instant,unit_of_bread,days_to_consume
1,4,1914,135,17650,5411,55,80,55,84,20
2,2,2003,165,20462,7820,73,92,55,106,46
3,9,13092,788,102244,35134,311,477,313,436,53
4,1,1066,86,11666,3176,31,55,41,70,55
5,5,10483,643,82574,29076,258,385,249,368,77
6,2,4731,276,35881,10793,110,166,117,148,83
7,2,4868,295,38501,12792,117,178,120,168,89
8,2,2236,127,16828,5381,47,80,55,74,40
9,1,680,76,9813,2775,30,46,33,66,46
10,2,5411,321,42517,12701,125,196,137,184,98
11,1,1784,109,13910,4005,43,66,47,62,66
12,2,694,57,7312,2302,25,32,21,38,16
13,8,5725,401,52123,16105,161,240,166,256,30
14,9,19125,1145,148544,52927,452,693,450,642,77
15,2,4832,289,37180,12719,119,170,111,154,85
16,1,2049,95,12997,2933,34,61,48,42,61
17,1,567,34,4451,1009,13,21,16,20,21
18,2,3952,262,33587,11512,110,152,99,148,76
19,2,4478,283,36330,11596,109,174,121,174,87
20,8,20635,1258,161581,56580,498,760,495,728,95
21,6,4928,305,38059,16200,131,174,98,158,29
22,3,4575,322,41101,15676,136,186,113,192,62
23,3,5739,338,44653,15199,134,204,134,182,68
24,3,6517,464,58824,23211,194,270,162,286,90
25,5,5225,329,42330,13704,134,195,133,184,39
26,6,8294,584,75921,23086,236,348,241,370,58
27,3,6395,421,53754,17196,169,252,170,254,84
28,5,5601,362,46718,16020,142,220,145,224,44
29,6,9222,624,79696,26084,252,372,251,386,62
30,5,5960,357,46398,13846,137,220,155,212,44
31,2,3818,302,39646,11595,120,182,130,216,91
32,7,14440,913,118129,36707,367,546,375,538,78
33,6,1580,92,11839,3806,38,54,36,48,9
34,8,15798,1058,138125,43177,418,640,440,668,80
35,3,4548,278,36476,9987,110,168,123,160,56
36,7,15861,1090,140352,51549,439,651,413,682,93
37,4,5477,311,41151,11992,119,192,137,172,48
38,1,53,2,242,231,1,1,0,0,1
39,3,1801,126,16575,5552,48,78,53,88,26
40,8,10399,736,94287,33456,304,432,277,454,54
41,2,261,21,2734,1387,9,12,6,14,6
42,2,2416,174,22620,5898,70,104,77,112,52
43,9,5919,417,53916,17860,174,243,160,256,27
44,7,3570,235,30119,10058,95,140,94,142,20
45,5,1464,86,10731,4920,36,50,27,44,10
46,6,219,20,2479,1545,8,12,5,16,2
47,7,15689,974,125999,40995,386,588,398,568,84
48,2,161,17,2082,599,7,10,7,14,5
49,3,3968,284,36801,13294,113,171,110,190,57
50,8,19259,1303,168047,58908,527,776,504,808,97
51,6,3270,208,26781,10564,82,126,77,126,21
52,7,1872,136,18140,5044,52,84,61,94,12
53,2,4108,302,39291,12547,122,180,123,200,90
54,2,1681,103,13579,3217,39,64,49,64,32
55,8,14616,968,123950,44196,392,576,371,588,72
56,9,16720,1138,148101,51608,454,684,446,716,76
57,7,2827,184,23637,9609,72,112,67,114,16
58,3,5745,376,49108,14024,148,228,163,234,76
59,6,6802,470,61116,20729,188,282,186,300,47
60,5,9578,570,74117,25395,225,345,227,318,69
61,7,2990,197,25818,9073,78,119,78,120,17
62,1,578,42,5673,1482,14,28,21,34,28
63,5,8539,601,78145,25742,236,365,248,400,73
64,4,9682,651,84765,27829,259,392,265,404,98
65,8,4789,327,41706,14032,135,192,128,198,24
66,4,5682,377,48591,16809,149,228,150,236,57
67,4,3774,245,32401,8315,93,152,114,160,38
68,8,9688,592,75123,28185,240,352,221,328,44
69,7,15187,1005,128881,43865,403,602,398,614,86
70,1,1241,79,10896,1883,28,51,42,52,51
71,4,203,13,1682,420,5,8,6,8,2
72,2,4435,292,37545,12511,114,178,119,184,89
73,3,8161,481,61560,20944,196,285,188,252,95
74,7,13150,883,114102,39085,358,525,343,540,75
75,2,4291,279,35954,11955,109,170,114,174,85
76,6,4551,345,44611,15942,141,204,131,232,34
77,2,4991,310,40194,12059,124,186,130,176,93
78,7,9262,563,71759,23635,234,329,217,300,47
79,9,20942,1346,173668,55464,545,801,543,784,89
80,9,19079,1179,152909,54962,468,711,458,684,79
81,2,763,58,7259,2722,24,34,21,38,17
82,4,1858,150,19042,7821,62,88,52,104,22
83,5,8692,525,68601,20907,205,320,224,300,64
84,3,2313,155,20145,5119,62,93,69,96,31
85,6,11898,788,100635,37894,320,468,293,470,78
86,2,4655,286,36509,13600,114,172,109,164,86
87,4,5044,358,45179,16987,150,208,129,220,52
88,1,2280,153,20159,6696,60,93,63,98,93
89,9,4122,275,35707,10333,104,171,122,184,19
90,4,3472,222,29641,9807,86,136,91,138,34
91,8,5948,378,48920,16432,146,232,156,234,29
92,1,1451,109,14219,5160,45,64,41,72,64
93,8,18378,1209,154948,55429,489,720,462,726,90
94,4,2933,175,22985,7084,67,108,75,102,27
95,5,906,42,5214,2207,17,25,15,14,5
96,6,613,40,5046,1649,16,24,16,24,4
97,2,758,54,6979,2314,22,32,21,34,16
98,8,4844,319,41839,15084,127,192,124,198,24
99,8,13812,909,117565,37425,365,544,370,552,68
100,5,3230,233,30116,10049,98,135,90,146,27
101,6,11962,766,99916,30654,304,462,320,456,77
102,7,8100,568,73708,22327,225,343,239,372,49
103,3,6097,408,52454,18540,165,243,157,244,81
104,3,3860,255,33523,10324,102,153,106,156,51
105,7,4244,297,37764,11943,122,175,119,182,25
106,3,6642,415,53413,19440,166,249,160,242,83
107,6,13718,922,117832,41939,370,552,356,568,92
108,3,1274,78,10054,4153,33,45,26,40,15
109,7,10769,662,85142,31830,270,392,246,368,56
110,6,3513,259,33369,11057,109,150,99,162,25
111,8,588,27,3626,1554,11,16,9,10,2
112,2,5398,320,40948,12940,134,186,125,162,93
113,2,582,52,6741,2639,22,30,18,38,15
114,3,5180,337,43194,15937,139,198,124,194,66
115,4,4820,300,38718,12826,120,180,119,174,45
116,7,14693,903,117139,39789,350,553,366,540,79
117,9,5382,371,49219,14959,146,225,156,242,25
118,1,410,26,3243,1472,10,16,9,16,16
119,1,2035,119,15409,4100,47,72,53,62,72
120,6,14401,922,118668,41900,370,552,357,546,92
121,6,10448,709,93183,27521,271,438,309,472,73
122,1,350,33,3989,1461,15,18,11,22,18
123,6,14309,971,125904,41707,389,582,386,606,97
124,7,1121,64,8503,3089,22,42,28,42,6
125,7,6211,410,52796,16043,165,245,170,252,35
126,9,19430,1239,160395,53291,501,738,494,724,82
127,3,2104,173,22219,8809,74,99,58,116,33
128,5,4235,283,35818,14073,118,165,99,170,33
129,7,6006,379,48390,16506,155,224,147,218,32
130,2,4377,286,36854,12090,112,174,117,176,87
131,2,2349,159,19923,6772,67,92,60,92,46
132,1,1579,103,13102,5363,39,64,39,66,64
133,4,8462,515,66646,22775,203,312,207,298,78
134,5,7206,434,56667,18862,169,265,177,252,53
135,2,3226,217,28089,9568,85,132,88,134,66
136,3,2061,124,16100,6463,52,72,43,64,24
137,8,11553,742,95935,30437,294,448,306,442,56
138,6,3737,262,33443,11237,106,156,103,166,26
139,9,13725,863,111824,38506,341,522,345,514,58
140,4,8419,557,71088,26892,225,332,206,336,83
141,1,1359,74,10019,2828,26,48,35,42,48
142,7,10703,714,91110,32891,294,420,267,424,60
143,8,11167,753,97018,34146,305,448,290,460,56
144,4,2361,148,19537,5422,56,92,67,94,23
145,6,3186,212,27176,9306,86,126,83,132,21
146,9,2168,150,19891,5541,60,90,65,98,10
147,4,7358,488,62600,21980,192,296,193,308,74
148,3,2461,136,18375,4875,52,84,62,72,28
149,8,19350,1227,160021,54772,491,736,482,722,92
150,9,20362,1249,161995,53194,493,756,509,730,84
151,7,3853,283,36258,13191,115,168,107,188,24
152,2,2011,106,13789,4520,42,64,43,52,32
153,9,3192,232,30224,10425,88,144,95,164,16
154,1,2434,139,17910,5854,60,79,53,62,79
155,2,1974,126,16241,5097,54,72,48,68,36
156,9,8119,541,69690,24560,217,324,210,326,36
157,4,3068,189,23967,9209,77,112,70,104,28
158,4,2126,152,19767,5938,60,92,65,102,23
159,5,4730,312,41225,11974,122,190,135,194,38
160,5,10315,629,80642,27207,254,375,248,348,75
161,6,8352,497,63901,18804,203,294,208,264,49
162,8,5440,382,48729,16328,158,224,148,238,28
163,9,4971,292,37892,11188,112,180,127,168,20
164,6,14211,839,108095,35769,341,498,333,444,83
165,2,1999,132,17136,5593,54,78,52,78,39
166,9,4723,330,42208,15488,132,198,125,210,22
167,6,45,11,1361,924,5,6,2,10,1
168,5,3682,226,29870,8979,91,135,94,126,27
169,4,3269,220,27966,9587,92,128,83,128,32
170,2,4003,267,33778,10501,109,158,109,160,79
171,1,1816,104,12937,5496,45,59,33,48,59
172,6,4735,284,37385,12540,104,180,122,174,30
173,4,2649,148,19069,6539,60,88,58,72,22
174,8,14258,870,113061,40094,342,528,344,502,66
175,2,2130,128,16189,5868,52,76,48,70,38
176,7,15335,1093,141673,42234,435,658,461,718,94
177,9,22171,1451,188263,61696,578,873,584,884,97
178,4,1004,70,9147,2900,30,40,27,40,10
179,7,11377,730,93123,31916,296,434,285,428,62
180,8,4048,259,33825,11111,99,160,109,160,20
181,3,1018,65,8482,3586,26,39,23,38,13
182,8,1065,70,8969,2997,30,40,27,38,5
183,7,11542,694,88833,33177,274,420,265,392,60
184,9,12237,728,94068,31770,296,432,284,390,48
185,8,7147,482,61437,21372,194,288,188,296,36
186,7,15698,1022,131396,43004,420,602,402,590,86
187,2,2760,204,25761,9542,86,118,74,128,59
188,7,15787,1045,135374,48466,415,630,407,648,90
189,9,11408,666,88268,23913,252,414,304,386,46
190,6,11204,784,99637,37349,328,456,284,476,76
191,4,5996,463,57646,24759,195,268,151,302,67
192,9,15397,1104,142545,50189,447,657,427,712,73
193,3,1575,93,12242,4508,36,57,37,56,19
194,9,6849,453,58717,19906,183,270,178,278,30
195,4,604,52,6638,2774,20,32,19,40,8
196,2,2825,224,28572,10845,94,130,81,150,65
197,7,13337,847,109993,34098,336,511,353,508,73
198,4,2319,174,22036,10102,74,100,54,110,25
199,8,2846,169,22025,7264,65,104,70,96,13
200,7,4091,263,33492,10187,102,161,112,164,23
201,9,11736,815,105045,35706,329,486,321,516,54
202,8,3003,200,26387,7567,80,120,86,124,15
203,8,20680,1290,167802,53092,514,776,528,746,97
204,2,4432,294,38306,12015,116,178,122,184,89
205,5,2538,185,24224,7441,75,110,76,120,22
206,2,3271,198,25944,8629,78,120,80,114,60
207,4,2894,212,27356,8306,84,128,88,142,32
208,6,15248,972,124130,43707,396,576,373,560,96
209,8,20288,1248,161379,56303,496,752,492,712,94
210,8,17490,1133,147355,46627,453,680,465,680,85
211,1,2530,153,19701,6391,64,89,59,78,89
212,2,2660,178,22805,7547,74,104,69,106,52
213,2,4852,284,36521,12106,114,170,115,152,85
214,4,6349,407,52465,18455,163,244,157,238,61
215,1,1403,113,14252,5159,49,64,40,74,64
216,6,13605,918,119063,40743,366,552,365,572,92
217,8,20613,1303,169096,53748,511,792,541,774,99
218,8,19329,1237,160244,53986,493,744,495,738,93
219,6,766,60,8072,2984,24,36,23,42,6
220,2,4225,313,41108,12481,121,192,134,216,96
221,7,10920,685,88677,28422,279,406,274,388,58
222,8,18327,1212,156378,54648,492,720,467,724,90
223,3,2491,156,19883,7857,63,93,56,88,31
224,5,6486,468,59962,21983,193,275,173,298,55
225,4,9629,584,76008,24137,228,356,242,342,89
226,7,17405,1027,131909,45806,411,616,403,566,88
227,5,792,53,6710,2344,23,30,19,30,6
228,2,2673,170,22176,8092,70,100,63,98,50
229,1,1530,133,17095,5561,55,78,52,98,78
230,2,4964,309,38580,15001,135,174,105,158,87
231,5,2408,165,21738,5909,65,100,73,106,20
232,7,14250,849,110621,34638,331,518,358,482,74
233,1,158,10,1314,421,4,6,4,6,6
234,9,1978,141,17910,6960,60,81,49,86,9
235,1,111,4,542,231,2,2,1,0,2
236,1,1136,70,9368,1766,28,42,34,40,42
237,7,1552,97,12211,4026,41,56,37,50,8
238,3,1909,126,16164,5058,51,75,52,76,25
239,9,11384,761,98139,32281,302,459,308,478,51
240,3,4320,259,33772,11165,97,162,111,154,54
241,3,5906,398,51231,17009,161,237,158,248,79
242,5,2908,163,21758,7523,63,100,66,84,20
243,9,5856,343,45535,15642,127,216,145,206,24
244,8,19447,1214,156244,48560,486,728,502,700,91
245,1,424,36,4837,2101,15,21,12,26,21
246,4,10319,622,80352,28524,242,380,248,362,95
247,5,9926,617,79680,27089,247,370,245,358,74
248,4,1584,96,12429,4236,40,56,37,48,14
249,4,8442,524,68347,22594,204,320,214,312,80
250,8,17130,1110,144823,44803,430,680,473,686,85
251,8,10801,752,97107,33649,304,448,292,474,56
252,3,1005,53,6794,1650,23,30,22,22,10
253,4,8526,594,75964,29675,238,356,220,370,89
254,5,4773,304,39001,15895,119,185,111,184,37
255,3,2450,139,17789,5634,55,84,58,74,28
256,6,5725,430,55329,18311,172,258,172,292,43
257,9,17259,1123,146053,47377,439,684,465,702,76
258,9,12942,838,108015,36037,334,504,338,504,56
259,5,2656,141,18076,6538,56,85,54,66,17
260,3,5495,370,49320,14097,142,228,163,240,76
261,7,370,38,4851,1903,17,21,12,28,3
262,6,15474,975,125499,42724,387,588,388,570,98
263,5,8572,592,76214,24547,237,355,240,376,71
264,9,11398,744,96715,31694,294,450,304,458,50
265,9,5898,392,50893,17389,158,234,154,242,26
266,1,2455,151,20133,5121,56,95,71,92,95
267,6,12580,823,105896,38632,331,492,311,500,82
268,4,7034,541,70064,25101,221,320,205,366,80
269,4,5499,350,45583,15842,138,212,139,212,53
270,6,3999,255,33089,10625,105,150,101,144,25
271,8,17041,1116,143062,47652,444,672,451,682,84
272,6,6167,404,52489,17754,158,246,163,254,41
273,6,5504,370,48531,15189,148,222,152,230,37
274,4,6022,362,47091,14359,138,224,157,216,56
275,8,17099,1131,144190,50287,475,656,421,650,82
276,1,1756,86,11346,3447,32,54,38,42,54
277,5,4491,317,41086,12422,127,190,133,206,38
278,5,3892,284,36823,12404,114,170,113,190,34
279,4,5228,354,45797,14907,146,208,138,212,52
280,2,4879,290,36869,13726,118,172,109,154,86
281,3,5383,345,44268,15802,138,207,133,206,69
282,9,13602,898,115906,36965,358,540,367,554,60
283,7,3917,281,36155,11803,113,168,113,184,24
284,6,13749,894,114893,38528,360,534,356,530,89
285,4,4156,230,30151,10692,94,136,87,110,34
286,3,3125,188,25017,6904,68,120,88,118,40
287,1,977,67,8742,2417,27,40,29,42,40
288,2,3945,270,35113,9830,102,168,122,184,84
289,8,13715,873,112294,41839,361,512,321,492,64
290,9,8052,576,73748,25743,234,342,222,372,38
291,8,11408,770,99852,30128,306,464,323,480,58
292,3,7788,467,60500,18525,191,276,189,250,92
293,3,5610,342,44823,14475,129,213,145,208,71
294,9,13355,904,118453,35707,364,540,377,564,60
295,3,3875,251,33005,8966,95,156,114,164,52
296,7,13895,882,114600,36826,350,532,360,532,76
297,5,6306,387,50619,14909,147,240,170,236,48
298,4,8966,621,79077,28635,249,372,237,398,93
299,4,3364,254,32089,11721,102,152,97,174,38
300,6,3814,278,35014,12289,116,162,105,176,27
301,2,3245,185,24561,6738,69,116,85,106,58
302,5,9930,643,83947,25963,258,385,265,388,77
